name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,bomber_mars,bomber_pb,bomber_ef,bomber_lr,fighter_mars,fighter_pb,fighter_ef,fighter_lr,carrier,cloud_generator,combat_deployment_model,combat_deployment_number,crushing_impact,diehard_crew,disruption_generator,diving,drift,elite_crew,escort,fearless,flexible_squadron,independent_move,inventive_scientists,kinetic_generator,mimic_generator,minelayer,node_disruption_generator,repair,restricted_boarding,security_posts,skimmer,small_target,special_forces,squadron_support_model,squadron_support_number,special_rules,faction_rules
Azov Battlecruiser,Russian_flag.png,,Medium Naval Model,130,1,4,1,6,6”,7,6,5,Standard,Broadsides,P/S,Massed Fire,20,14,-,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,8,8,4,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veliky Escorts,0-3,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Tambov Gunship,Russian_flag.png,RC_Tambov.png,Medium Naval Model,90,1-2,2,1,4,8”,6,5,5,Gunnery,Turret Battery,F/P/S,Massed Fire,12,8,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Pesets Submarine,Russian_flag.png,RC_Pesets.png,Medium Naval Model,100,1-2,2,1,4,8”,5,5,5,Standard,Battery,F,"Hunter (Surface), Massed Fire, Punishing",10,8,5,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Tiksi Support Cruiser,Russian_flag.png,RC_Tiksi.png,Medium Naval Model,100,1-2,2,1,4,7”,5,6,3,Standard,Broadsides,P/S,Massed Fire,5,4,3,passive,Mortar,Battery,F/P/S,"Indirect Fire, Lethal",3,8,8,passive,Mortar,Battery,F/P/S,"Indirect Fire, Lethal",6,5,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Suvorov Cruiser,Russian_flag.png,RC_Suvorov.png,Medium Naval Model,75,2-3,2,1,3,8”,5,5,5,Standard,Broadsides,P/S,Massed Fire,6,5,3,passive,Gunnery,Turret,F/P/S,Massed Fire,7,6,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Onega Light Cruiser,Russian_flag.png,,Medium Naval Model,60,2-4,3,1,3,10”,5,4,4,Gunnery,Turret,F/P/S,Massed Fire,6,5,-,passive,Mortar,Battery,360°,Massed Fire,-,5,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Rudnitsky Repair Ship,Russian_flag.png,,Medium Naval Model,65,1-3,4,1,3,8”,4,6,6,Mortar,Battery,360°,Massed Fire,6,7,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,2,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Chany Strike Submarine,Russian_flag.png,RC_Chany.png,Medium Naval Model,55,2-3,2,1,3,11”,4,4,3,Standard,Battery,F,"Massed Fire, Punishing",6,5,3,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rostov Destroyer,Russian_flag.png,RC_Rostov.png,Small Naval Vessel,45,3-4,1,0,2,9”,4,2,2,Standard,Battery,F,"Hunter (Non-Aerial), Massed Fire",6,4,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nikel Heavy Frigate,Russian_flag.png,RC_Nikel.png,Small Naval Vessel,35,2-4,1,0,1,8”,4,3,3,Mortar,Battery,360°,"Indirect Fire, Lethal",-,5,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,
Novgorod Frigate,Russian_flag.png,RC_Novgorod-Veliky.png,Small Naval Vessel,25,2-4,1,0,1,8”,3,2,2,Standard,Turret,F,,4,2,-,passive,Mortar,Battery,360°,"Indirect Fire, Lethal",-,3,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,
Mezen Corvette,Russian_flag.png,,Small Naval Vessel,20,3-5,1,1,1,13”,4,2,2,Standard,Battery,F,Massed Fire,4,1,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Kavkaz Assault Drill,Russian_flag.png,,Small Naval Vessel,n/a,n/a,1,0,½,10”,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,x,,,,"<b>Combat Deployment</b>
<b>Victory through Destruction:</b> If this Model is destroyed while resolving a ram no victory points are awarded",
Kazimov Corvette,Russian_flag.png,,Small Naval Vessel,15,3-5,1,1,1,15”,4,2,3,,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Veliky Escort,Russian_flag.png,RC_Novgorod-Veliky.png,Small Naval Vessel,30,n/a,1,0,1,7”,3,2,1,Standard,Battery,F,Massed Fire,3,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunguska Sky Ship,Russian_flag.png,RC_Tunguska.png,Large Aerial Model,225,1,5,2,7,8”,9,8,7,Standard,Broadsides,P/S,"hunter (Aerial), Massed Fire",12,12,6,passive,Gunnery,Turret Battery,F/P/S,"Hunter (Aerial), Massed Fire",14,12,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,2,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirchev Heavy Bomber,Russian_flag.png,RC_Kirchev.png,Medium Aerial Model,125,1,4,1,5,8”,7,6,5,Standard,Battery,F/P/S,Punishing,11,9,7,passive,,Bombs,360°,Lethal,16,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Saransk Sky Ship,Russian_flag.png,RC_Saransk.png,Medium Aerial Model,80,2-3,4,1,4,10”,5,5,6,Standard,Turret,F/P/S,"hunter (Aerial), Massed Fire",9,8,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Myshkin Bomber,Russian_flag.png,RC_Myshkin.png,Medium Aerial Model,50,2-3,3,1,2,10”,5,4,5,,Bombs,F/P/S,"Lethal, Massed Fire",12,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyetka Intercepter,Russian_flag.png,RC_Suyetka.png,Small Aerial Model,25,3-5,3,0,1,12”,4,2,1,Gunnery,Battery,F,Massed Fire,4,3,1,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svarog Dreadnought Robot Mk.I,Russian_flag.png,,Large Multi-Theatre Model,335,1,6,4,18,9”,6,4,12,Mortar,Battery,F/P/S,"Indirect Fire, Lethal, Punishing",-,20,11,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,19,13,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,4”,,,,4,,,,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
Svarog Dreadnought Robot Mk.II,Russian_flag.png,,Large Multi-Theatre Model,335,1,6,4,18,9”,6,4,12,,Steam Axes,360°,Horrific Damage,-,-,-,,Gunnery,Turret Battery,F/P/S,Massed Fire,19,13,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,4”,,,,8,,,<b>Horrific Damage:</b> When resolving Boarding damage roll 2D6 on the Damage Table rather than rolling on the Boarding Damage Column,<b>Ablative Armour:</b> DR is increased by 1 if the Model has not taken Damage Tokens equalling half or more of their starting HP.
