name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,weapon_6_type,weapon_6_name,weapon_6_arc,weapon_6_mars,weapon_6_pb,weapon_6_ef,weapon_6_lr,weapon_6_defense,mars,special_rules
Dominion Torpedo Cruiser,KoB_flag.png,,Medium Naval Model,90,1-3,3,2,4,7”,5,5,4,Torpedo,Battery,F,"Hunter (Non-Aerial), Punishing",-,7,6,active,Torpedo,Battery,P/S,"Hunter (Non-Aerial), Punishing",-,6,4,active,Standard,Turret,F/P/S,,7,6,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,
Felshaw Light Carrier,KoB_flag.png,,Medium Naval Model,90,1-2,4,2,4,8”,5,5,3,Torpedo,Battery,F,Punishing,-,6,4,active,Torpedo,Turret,A/P/S,Punishing,6,4,-,active,Gunnery,Broadsides,P/S,Massed Fire,6,5,-,passive,,Bombers,360°,Hunter (Non-Aerial),5,5,-,active,,Fighters,360°,Hunter (Aerial),6,6,-,active,,,,,,,,,Carrier (1),
Tribal Cruiser,KoB_flag.png,KB_Tribal.png,Medium Naval Model,75,2-3,2,3,3,7”,5,5,4,Torpedo,Battery,F,Punishing,-,6,4,active,Torpedo,Battery,P/S,Punishing,-,5,3,active,Standard,Turret,F/P/S,,7,5,3,passive,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard Assault Submarine,KoB_flag.png,,Medium Naval Model,65,1-3,4,1,3,11”,5,4,5,Torpedo,Battery,F,Punishing,-,7,6,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crushing Impact (+5), Fearless, Special Forces (2)",
Stalwart Heavy Destroyer,KoB_flag.png,KB_Stalwart.png,Small Naval Model,50,2-3,2,1,2,9”,4,3,2,Standard,Turret,F/P/S,Hunter (Aerial),5,2,-,passive,Standard,Turret,A/P/S,Hunter (Aerial),5,2,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Orion Destroyer,KoB_flag.png,KB_Orion.png,Small Naval Model,40,2-4,2,0,2,12”,4,2,2,Torpedo,Battery,F,"Hunter (Non-Aerial), Punishing",-,5,3,active,Standard,Fixed Weapon,F,,4,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Attacker Frigate,KoB_flag.png,KB_Attacker.png,Small Naval Model,25,2-4,2,0,1,11”,3,2,1,Gunnery,Battery,P/S,Massed Fire,4,2,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Valiant Submarine,KoB_flag.png,,Small Naval Model,25,3-5,1,0,1,14”,3,2,2,Torpedo,Battery,F,Punishing,3,2,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Bastion Escort,KoB_flag.png,KB_Bastion.png,Small Naval Model,20,n/a,2,0,1,10”,4,2,1,,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Swift Corvette,KoB_flag.png,KB_Swift.png,Small Naval Model,20,3-5,1,0,1,14”,3,2,2,Gunnery,Turret,F/P/S,Massed Fire,3,1,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illustrious Sky Fortress,KoB_flag.png,KB_Illustrious.png,Large Aerial Model,190,1,7,4,9,6”,8,9,8,Standard,Turret,F/P/S,,8,7,5,passive,Standard,Turret,A/P/S,,8,7,5,passive,,Bombs,360°,Punishing,16,-,-,,,Bombers,360°,Hunter (Non-Aerial),5,5,-,active,,Fighters,360°,Hunter (Aerial),6,6,-,active,,,,,,,,,"Carrier (2), Elite Crew, Independent Move, Minelayer",<b>Mine Racks:</b> This model counts as two Models when calculating which player has the largest number of <i>Mine Layers</i>
Eagle War Rotor,KoB_flag.png,KB_Eagle.png,Large Aerial Model,170,1,5,6,7,7”,8,8,9,Standard,Turret,F/P/S,,8,7,4,passive,Standard,Turret,A/P/S,,8,7,4,passive,,Bombs,360°,Punishing,18,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,"Die Hard Crew, Elite Crew, Independent Move",
Halifax Heavy Bomber,KoB_flag.png,KB_Halifax.png,Medium Aerial Model,125,1,4,3,5,10”,6,6,4,Gunnery,Battery,F,"Massed Fire, Punishing",11,8,4,passive,,Bombs,360°,"Hunter (Surface, Submerged)",14,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Security Posts (1),<b>Momentum:</b> This Model has a 4” Drift Move
Hawk Scout Rotor,KoB_flag.png,,Medium Aerial Model,85,2-3,4,3,3,9”,5,5,4,Standard,Turret,F/P/S,Punishing,5,7,3,passive,,Bombs,360°,Punishing,7,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Independent Move, Mine Layer",
Doncaster Bomber,KoB_flag.png,,Medium Aerial Model,60,2-3,4,3,5,8”,6,6,5,Torpedo,Battery,F,Hunter (Submerged),-,6,5,passive,,Bombs,360°,,7,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Momentum:</b> This Model has a 4” Drift Move
Merlin Light Intercepter,KoB_flag.png,KB_Merlin.png,Small Aerial Model,30,3-5,2,0,1,15”,3,2,1,Gunnery,Battery,F,"Hunter (Arial), Punishing",5,2,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,<b>Momentum:</b> This Model has a 4” Drift Move
Peregrine Strike Bomber,KoB_flag.png,,Small Aerial Model,30,3-5,1,0,1,14”,4,2,1,,Bombs,360°,,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,<b>Momentum:</b> This Model has a 4” Drift Move
