name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,bomber_mars,bomber_pb,bomber_ef,bomber_lr,fighter_mars,fighter_pb,fighter_ef,fighter_lr,carrier,cloud_generator,combat_deployment_model,combat_deployment_number,crushing_impact,diehard_crew,disruption_generator,diving,drift,elite_crew,escort,fearless,flexible_squadron,independent_move,inventive_scientists,kinetic_generator,mimic_generator,minelayer,node_disruption_generator,repair,restricted_boarding,security_posts,small_target,special_forces,squadron_support_model,squadron_support_number,special_rules
Cleomedes Cruiser,CoA_flag.png,,Medium Naval Model,75,2-3,2,2,3,8”,5,5,3,Standard,Broadsides,P/S,,6,5,3,passive,Torpedo,Battery,F,Punishing,5,5,5,active,Energy,Turret Battery,F/P/S,Punishing,5,5,5,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,1,,,,,,,,,,,,
Praxilla Hunter Killer Submarine,CoA_flag.png,,Medium Naval Model,80,1-2,3,3,3,9”,5,5,4,,,,,,,,,Standard,Fixed Weapon,F,Punishing,6,7,8,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,1,,,,,,,,,1,,,<b>Hit and Run</b> This Model mach choose to Attack after completing its Drift move and before performing is remaining move. If it chooses to do so then the Models Activation will end after completing its Remaining Move
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plutarch Heavy Destroyer,CoA_flag.png,,Small Naval Model,55,2-4,2,1,2,9”,5,3,1,Standard,Broadsides,P/S,Massed Fire,2,2,-,passive,Standard,Turret,F/P/S,,4,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,
Diogenes Frigate,CoA_flag.png,CoA_Diogenes.png,Small Naval Model,25,3-4,1,0,1,12”,4,2,1,Standard,Broadsides,P/S,Massed Fire,3,-,-,passive,Torpedo,Battery,F,Punishing,3,3,3,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,
Thales Corvette,CoA_flag.png,CoA_Thales.png,Small Naval Model,25,3-5,0,0,1,16”,3,2,2,,,,,,,,,Standard,Fixed Weapon,F,Massed Fire,3,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,
Galen Escort,CoA_flag.png,,Small Naval Model,20,n/a,1,0,1,10”,3,2,1,,,,,,,,,Standard,Turret,F/P/S,,3,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,
Newton Support Craft,CoA_flag.png,,Small Naval Model,n/a,n/a,0,0,½,10”,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,x,,,,<b>Combat Deployment:</b> This Model may only be fielded as part of the <i>Combat Deployment</i> <b>MAR</b>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euclid Sky Dreadnought Mk.I,CoA_flag.png,,Large Aerial Model,330,1,6,4,16,7”,9,10,8,Plasma,Fixed Weapon,F,"Lethal, Massed Fire, Punishing",14,-,-,passive,Energy,Turret,360,Punishing,9,9,9,passive,Rocket,Battery,360,Punishing,8,8,8,active,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),5,5,5,Hunter (Aerial),5,5,5,3,,,,,,,,,x,,,,x,2,,,,,,,2,,,Alea Escort,0-3,
Euclid Sky Dreadnought Mk.II,CoA_flag.png,,Large Aerial Model,330,1,6,4,18,7”,9,10,8,Plasma,Fixed Weapon,F,"Lethal, Massed Fire, Punishing",14,-,-,passive,Energy,Turret,360,Punishing,9,9,9,passive,Rocket,Battery,360,Punishing,8,8,8,active,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),5,5,5,Hunter (Aerial),5,5,5,2,,Colossus,5,,,,,,x,,,,x,2,,,,,,,2,,,Alea Escort,0-3,
Epicurus Sky Fortress,CoA_flag.png,CoA_Epicurus.png,Large Aerial Model,180,1,5,4,9,6”,8,8,6,Standard,Broadsides,P/S,Massed Fire,10,8,4,passive,Energy,Turret,F/P/S,Punishing,5,5,5,passive,Energy,Turret,A/P/S,Punishing,5,5,5,passive,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),5,5,5,Hunter (Aerial),5,5,5,2,,,,,,,,,x,,,,,2,,,,,,,,,,Alea Escort,0-3,
Daedalus Large Flyer,CoA_flag.png,CoA_Daedalus.png,Large Aerial Model,150,1,5,5,6,7”,8,8,6,Standard,Broadsides,P/S,Massed Fire,10,8,4,passive,Energy,Turret,F/P/S,Punishing,6,6,6,passive,Energy,Turret,A/P/S,Punishing,6,6,6,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,2,,,x,,,,,,,Alea Escort,0-3,
,CoA_flag.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperbius Control Flyer,CoA_flag.png,CoA_Hyperbius.png,Medium Aerial Model,120,1,4,3,4,10”,6,5,4,Rocket,Battery,F,Hunter (Aerial),6,6,6,active,Energy,Turret,360,Punishing,7,7,7,passive,Energy,Battery,F,Punishing,7,4,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,2,,,,,,,2,,,,,<b>Combat Coordinator:</b> Friend Covenant of Antartica Aerial Models within 8” of this Model gain the <i>Hunter (Aerial)</i> MAR on all attacks
Icarus Medium Flyer,CoA_flag.png,CoA_Icarus.png,Medium Aerial Model,60,2-3,4,3,3,8”,5,5,3,Standard,Broadsides,P/S,,6,4,-,passive,Energy,Turret,F/P/S,Punishing,5,5,5,passive,Energy,Battery,F,,6,4,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,1,,,,,,,,,,,,
Capek Interceptor,CoA_flag.png,,Medium Aerial Model,70,2-3,3,1,3,10”,5,4,3,Rocket,Battery,F,Hunter (Aerial),5,5,5,active,Energy,Battery,F,Punishing,6,3,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,
Ptolemy Bomber,CoA_flag.png,CoA_Ptolemy.png,Medium Aerial Model,55,2-3,3,1,3,12”,5,4,2,,Bombs,360,Punishing,7,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,
,CoA_flag.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pytheus Small Flyer,CoA_flag.png,CoA_Pytheus.png,Small Aerial Model,25,3-5,2,0,1,14”,3,2,1,,Bombs,360,Hunter (Surface),4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,
Theon Light Interceptor,CoA_flag.png,,Small Aerial Model,40,2-3,2,1,2,15”,4,3,2,Standard,Battery,F,Hunter (Aerial),7,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,
Alea Escort Flyer,CoA_flag.png,,Small Aerial Model,20,n/a,1,0,1,14”,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,
