name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,bomber_mars,bomber_pb,bomber_ef,bomber_lr,fighter_mars,fighter_pb,fighter_ef,fighter_lr,carrier,cloud_generator,combat_deployment_model,combat_deployment_number,crushing_impact,diehard_crew,disruption_generator,diving,drift,elite_crew,escort,fearless,flexible_squadron,independent_move,inventive_scientists,kinetic_generator,mimic_generator,minelayer,node_disruption_generator,repair,restricted_boarding,security_posts,small_target,special_forces,squadron_support_model,squadron_support_number,special_rules
Arashi Support Cruiser,EotBS_flag.png,,Medium Naval Model,100,1-2,2,2,4,9”,6,5,3,Rocket,Battery,360°,"Lethal, Punishing",-,9,11,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanuki Armored Cruiser,EotBS_flag.png,EotBS_Tanuki.png,Medium Naval Model,85,1-3,2,3,3,9”,6,5,4,Standard,Turret,F/P/S,,8,-,-,passive,Rocket,Battery,360°,Lethal,-,6,7,active,Torpedo,Battery,F,,9,-,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honshu Cruiser Mk.I,EotBS_flag.png,,Medium Naval Model,75,2-3,2,2,3,9”,6,5,5,Standard,Broadsides,P/S,,7,5,4,passive,Rocket,Battery,360°,Lethal,-,4,5,active,Torpedo,Battery,F,,8,-,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,2,,,
Honshu Cruiser Mk.II,EotBS_flag.png,,Medium Naval Model,75,2-3,2,2,3,8”,6,5,5,Standard,Broadsides,P/S,,7,5,4,passive,Gunnery,Turret,F/P/S,Massed Fire,5,4,-,passive,Torpedo,Battery,F,,8,-,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Honshu Cruiser Mk.III,EotBS_flag.png,,Medium Naval Model,80,2-3,2,2,3,8”,6,5,6,Standard,Broadsides,P/S,,7,5,4,passive,Torpedo,Battery,F,,8,-,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,
Chita Mechanical Squid,EotBS_flag.png,,Medium Naval Model,75,1-2,2,2,5,10”,7,5,5,Incendiary,Fixed Weapon,F,"Corrosive, Flame",8,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,4”,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sui Heavy Destroyer,EotBS_flag.png,EotBS_Sui.png,Small Naval Model,50,3-4,2,1,2,11”,5,3,2,Torpedo,Battery,F,"Lethal, Hunter (Non-Aerial)",7,6,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,,,
Yurgi Destroyer,EotBS_flag.png,EotBS_Yurgi.png,Small Naval Model,40,2-4,1,0,2,10”,5,2,2,Standard,Fixed Weapon,F,,5,-,-,passive,Rocket,Battery,P/S,"Lethal, Hunter (Aerial)",3,5,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Uwatsu Frigate,EotBS_flag.png,,Small Naval Model,30,2-4,2,1,1,12”,4,2,1,Standard,Broadsides,P/S,,6,2,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Fujin Corvette,EotBS_flag.png,EotBS_Fukin.png,Small Naval Model,20,3-5,0,0,1,13”,3,2,3,Standard,Turret,F/P/S,Massed Fire,4,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Zarigani Mechanical Squid,EotBS_flag.png,EotBS_small_squid.png,Small Naval Model,25,3-5,0,0,1,10”,2,2,2,Incendiary,Flamethrower,F,Flame,4,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,4”,,x,1,,,
Kitsune Escort,EotBS_flag.png,EotBS_Kitsune.png,Small Naval Model,20,n/a,1,0,1,10”,3,2,1,Rocket,Battery,360°,Lethal,-,3,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raijin Command Gyro Mk.I,EotBS_flag.png,EotBS_war_rotor.png,Large Aerial Model,165,1,5,2,7,6”,8,8,7,Incendiary,Turret,F/P/S,Lethal,15,11,8,passive,Rocket,Battery,F/P/S,Lethal,-,6,8,active,Rocket,Broadsides,P/S,Lethal,-,6,8,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,
Raijin Command Gyro Mk.II,EotBS_flag.png,EotBS_war_rotor.png,Large Aerial Model,165,1,5,2,9,6”,8,8,7,Incendiary,Turret,F/P/S,Lethal,15,11,8,passive,Rocket,Battery,F/P/S,Lethal,-,6,8,active,Rocket,Broadsides,P/S,Lethal,-,6,8,active,,,,,,,,,,,,,,,,,,,,,,,,,,,Zarigani,3,,,x,,,,,,,,,,,,,,,,,,,,
Tenkei Sky Fortress,EotBS_flag.png,,Large Aerial Model,150,1,5,2,8,6”,9,10,8,Gunnery,Battery,F,"Lethal, Massed Fire",12,10,-,passive,Rocket,Battery,360°,Lethal,7,14,-,active,,Bombs,360°,Lethal,10,-,-,,,,,,,,,,,,,,,,,,Hunter (Non-Aerial),6,6,-,Hunter (Aerial),6,6,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsukuyomi War Gyro,EotBS_flag.png,EotBS_Tsukuyomi.png,Large Aerial Model,155,1,5,2,6,7”,8,8,7,Incendiary,Turret,F/P/S,Lethal,9,6,4,passive,Incendiary,Turret,F/P/S,Lethal,9,6,4,passive,Rocket,Battery,P/S,Lethal,-,7,10,active,,Bombs,360°,Lethal,13,-,-,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzaku Heavy Bomber,EotBS_flag.png,EotBS_heavy_bomber.png,Medium Aerial Model,120,1,4,1,5,9”,7,6,6,Rocket,Battery,360°,Lethal,10,12,-,active,,Bombs,360°,Lethal,14,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4”,,,,,,,,,,,,,,,,,,
Inari Scout Gyro,EotBS_flag.png,,Medium Aerial Model,75,2-3,3,1,3,8”,5,5,4,Incendiary,Turret,360°,"Lethal, Massed Fire",7,5,-,passive,Rocket,Battery,P/S,Lethal,-,4,5,active,,Bombs,360°,,6,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onryo Support Gyro,EotBS_flag.png,EotBS_Onryo.png,Medium Aerial Model,75,2-3,3,1,3,8”,5,5,6,Incendiary,Turret,F/P/S,"Lethal, Massed Fire",7,5,-,passive,,Bombs,360°,,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,
DFA-170 Bomber,EotBS_flag.png,,Medium Aerial Model,60,2-3,3,1,2,10”,5,4,4,Rocket,Battery,F,Lethal,4,6,-,active,,Bombs,360°,,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4”,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetsubo Interceptor,EotBS_flag.png,EotBS_Tetsubo.png,Small Aerial Model,30,3-5,2,1,1,13”,4,2,1,Rocket,Battery,F,Hunter (Aerial),3,5,-,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4”,,,,,,,,,,,,,,x,,,,
Ubo Strike Bomber,EotBS_flag.png,,Small Aerial Model,30,3-5,2,1,1,15”,4,2,1,,Bombs,360°,Lethal,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4”,,,,,,,,,,,,,,x,,,,
