name,flag,image,model_type,point_value,squadron_size,active_defense,passive_defense,vp,move,dr,hp,cp,weapon_1_type,weapon_1_name,weapon_1_arc,weapon_1_mars,weapon_1_pb,weapon_1_ef,weapon_1_lr,weapon_1_defense,weapon_2_type,weapon_2_name,weapon_2_arc,weapon_2_mars,weapon_2_pb,weapon_2_ef,weapon_2_lr,weapon_2_defense,weapon_3_type,weapon_3_name,weapon_3_arc,weapon_3_mars,weapon_3_pb,weapon_3_ef,weapon_3_lr,weapon_3_defense,weapon_4_type,weapon_4_name,weapon_4_arc,weapon_4_mars,weapon_4_pb,weapon_4_ef,weapon_4_lr,weapon_4_defense,weapon_5_type,weapon_5_name,weapon_5_arc,weapon_5_mars,weapon_5_pb,weapon_5_ef,weapon_5_lr,weapon_5_defense,weapon_6_type,weapon_6_name,weapon_6_arc,weapon_6_mars,weapon_6_pb,weapon_6_ef,weapon_6_lr,weapon_6_defense,mars,special_rules
Konigsberg Battlecruiser,Prussian_flag.png,,Medium Naval Model,120,1,5,3,5,10”,6,6,6,Standard,Broadsides,P/S,Massed Fire,6,5,-,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,13,7,6,passive,Tesla,Battery,360°,Lethal,9,7,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Donnerfaust Support Cruiser,Prussian_flag.png,,Medium Naval Model,90,1-2,2,2,4,11”,5,5,3,Tesla,Broadsides,P/S,Lethal,4,2,-,passive,Tesla,Turret,F/P/S,Lethal,5,5,-,passive,Tesla,Turret,A/P/S,Lethal,5,5,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Security Posts (2)",
Havel Light Carrier,Prussian_flag.png,,Medium Naval Model,90,1-2,2,2,4,10”,5,5,3,Standard,Broadsides,P/S,Massed Fire,9,7,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,Bombers,360°,Hunter (Non-Aerial),6,6,-,active,,Fighters,360°,Hunter (Aerial),5,5,-,active,"Carrier (1), Disruption Generator, Minelayer","<b>Squadron Support:</b> This Squadron may have 0-6 Naval <b>Watchter Escorts</b> <i>Attached</i>, increasing the cost of the Squadron accordingly"
Hussar Gunship,Prussian_flag.png,PE_Hussar.png,Medium Naval Model,90,1-3,4,2,4,11”,5,5,4,Standard,Broadsides,P/S,Massed Fire,4,3,-,passive,Gunnery,Turret Battery,F/P/S,Massed Fire,8,7,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disruption Generator,
Uhlan Cruiser,Prussian_flag.png,,Medium Naval Model,65,2-3,3,2,3,11”,5,5,5,Standard,Turret,F/P/S,,7,6,3,passive,Gunnery,Broadsides,P/S,Massed Fire,4,3,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special Forces (2), Minelayer",
Brantaucher Submarine,Prussian_flag.png,,Medium Naval Diving Model,70,2-3,2,2,3,8”,5,4,5,Incendiary,Fixed Weapon,F,"Hunter (Surface), Lethal",7,7,4,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew, Special Forces (1), Minelayer",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolz Destroyer,Prussian_flag.png,PE_Stoltz.png,Small Naval Model,40,2-4,2,1,2,12”,4,2,2,Tesla,Turret,F,"hunter (Non-Aerial), Massed Fire, Punishing",6,4,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Lahn Destroyer,Prussian_flag.png,,Small Naval Model,40,2-4,2,1,2,12”,4,2,2,Tesla,Turret,F/P/S,"Hunter (Aerial), Lethal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Arminius Frigate,Prussian_flag.png,PE_Arminius.png,Small Naval Model,25,2-4,1,0,1,13”,3,2,1,Tesla,Turret,F/P/S,Lethal,6,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Saxony Corvette,Prussian_flag.png,PE_Saxony.png,Small Naval Model,20,3-5,1,0,1,15”,3,2,2,Tesla,Turret,F/P/S,Lethal,4,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Target, Special Forces (1)",
Wachter Escort,Prussian_flag.png,,Small Naval Model,15,n/a,1,0,1,10”,3,2,1,Standard,Turret,F/P/S,Massed Fire,3,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escort, Small Target",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperium Sky Fortress,Prussian_flag.png,PE_sky_fortress.png,Large Aerial Model,175,1,6,2,9,5”,8,9,8,Tesla,Broadsides,P/S,"Indirect Fire, Lethal",9,4,-,passive,Tesla,Battery,F,"Lethal, Massed Fire",12,10,3,passive,,Bombs,360°,Lethal,10,-,-,none,,Bombers,360°,Hunter (Non-Aerial),6,6,-,active,,Fighters,360°,Hunter (Aerial),5,5,-,active,,,,,,,,,"Carrier (2), Disruption Generator, Elite Crew, Security Posts (2)",
Gewitterwolke Airship,Prussian_flag.png,PE_Gewitterwolke.png,Large Aerial Model,165,1,4,2,7,7”,8,8,9,Tesla,Broadsides,P/S,"Indirect Fire, Lethal",10,8,-,passive,Tesla,Battery,F,"Lethal, Massed Fire",15,12,3,passive,,Bombs,360°,Lethal,15,-,-,none,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Elite Crew, Security Posts (1)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler Heavy Bomber,Prussian_flag.png,,Medium Aerial Model,110,1,4,2,4,8”,7,6,4,Tesla,Battery,F,Lethal,8,5,3,passive,Tesla,Battery,360,Lethal,9,6,-,passive,,Bombs,360°,"Hunter (Surface), Lethal",14,-,-,none,,,,,,,,,,,,,,,,,,,,,,,,,"Disruption Generator, Security Posts (2)",<b>Momentum:</b> This Model has a 4” drift move
Pflicht Scoutship,Prussian_flag.png,PE_Pflicht.png,Medium Aerial Model,80,2-3,3,2,3,8”,5,5,5,Tesla,Broadsides,P/S,"Hunter (Aerial), Lethal",7,5,3,passive,Tesla,Battery,F,"Hunter (Aerial), Lethal",6,4,-,passive,,Bombs,360°,,6,-,-,none,,,,,,,,,,,,,,,,,,,,,,,,,Specialized Defences (2),
Geier Bomber,Prussian_flag.png,,Medium Aerial Model,60,2-3,2,1,2,10”,5,4,3,Tesla,Battery,F,"Hunter (Surface), Lethal",6,5,3,passive,Tesla,Battery,A,Lethal,6,-,-,passive,,Bombs,360°,Lethal,7,-,-,none,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Momentum:</b> This Model has a 4” drift move
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speerwurf Strike Airship,Prussian_flag.png,PE_Speerwurf.png,Small Aerial Model,30,3-5,2,0,1,12”,3,2,2,Tesla,Battery,360,"Hunter (Submerged), Lethal",4,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Jager Strike Airship,Prussian_flag.png,PE_Jager.png,Small Aerial Model,30,3-5,2,0,1,12”,3,2,2,Tesla,Battery,360,"Hunter (Aerial), Lethal",4,-,-,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
Zerstorer Strike Bomber,Prussian_flag.png,,Small Aerial Model,20,3-5,1,0,1,15”,4,2,1,Tesla,Bombs,360,"Hunter (Surface), Lethal",4,-,-,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Target,
